Data;Device ID;Sequence number;Timestamp
024ac10a0c3200cc020000;00CEA278;1433;30-8-2021 15:54
0247c10d0c3300c9000000;00CEA278;1432;30-8-2021 15:40
0250c10f0c3200c9020000;00CEA278;1431;30-8-2021 15:33
0240c10f0c2f00cc010000;00CEA278;1430;30-8-2021 15:21
024ac10a0c3500c8010000;00CEA278;1429;30-8-2021 15:11
024bc10a0c3700c6010000;00CEA278;1428;30-8-2021 15:00
0245c1150c3100cb000000;00CEA278;1427;30-8-2021 14:48
0250c1110c3600c9010000;00CEA278;1426;30-8-2021 14:40
0253c1100c3600c6000000;00CEA278;1425;30-8-2021 14:28
024ec10e0c3700c8000000;00CEA278;1424;30-8-2021 14:17
0240c1170c3500cc00001f;00CEA278;1423;30-8-2021 14:07
01a5c1ba0c3700e4010044;00CEA278;1422;30-8-2021 13:58
01dbc13b0c3500d1010009;00CEA278;1421;30-8-2021 13:48
01dfc1550c3500d3030000;00CEA278;1420;30-8-2021 13:41
01d7c14c0c3500d1010000;00CEA278;1419;30-8-2021 13:27
01cec14b0c3400d1000000;00CEA278;1418;30-8-2021 13:15
01d0c1560c3600d4000000;00CEA278;1417;30-8-2021 13:05
01cec15b0c3400d4000000;00CEA278;1416;30-8-2021 12:55
01cfc15f0c3500d4010016;00CEA278;1415;30-8-2021 12:46
